fecha,temp_prom,temp_max,temp_min,prioritaria_est,usinas_est,industria_est,gnc_est,combustible_est,exportaciones_est,demanda_total_est
2026-09-25,21.1,25.7,16.6,23.4,40.5,34.8,5.8,3.7,7.0,115.2
2026-09-26,16.8,20.1,13.5,19.5,32.9,33.1,5.6,3.7,7.0,101.8
2026-09-27,16.4,18.8,13.9,17.2,30.4,32.9,4.9,3.7,7.0,96.1
2026-09-28,17.2,19.4,15.0,21.8,36.5,34.2,5.5,3.7,7.0,108.7
2026-09-29,16.7,19.2,14.2,34.8,36.2,34.1,5.5,3.7,7.0,121.3
2026-09-30,13.8,18.3,9.2,44.0,32.5,33.5,5.5,3.8,7.0,126.3
2026-10-01,14.9,17.8,11.9,35.9,33.5,33.7,5.6,3.8,7.0,119.5
2026-10-02,18.4,22.0,14.9,23.4,37.2,34.2,5.8,3.7,7.0,111.3
2026-10-03,18.6,21.7,15.4,30.8,35.0,33.5,5.6,3.7,7.0,115.6
2026-10-04,16.1,19.7,12.4,40.2,30.0,32.8,4.9,3.7,7.0,118.6
2026-10-05,16.7,21.3,12.1,42.0,35.9,34.1,5.5,3.7,7.0,128.2
2026-10-06,17.2,20.1,14.4,43.9,36.8,34.2,5.5,3.7,7.0,131.1
2026-10-07,15.2,17.1,13.3,42.8,34.1,33.8,5.5,3.7,7.0,126.9
2026-10-08,15.2,17.8,12.6,40.2,33.9,33.7,5.6,3.8,7.0,124.2
