fecha,temp_prom,temp_max,temp_min,prioritaria_est,usinas_est,industria_est,gnc_est,combustible_est,exportaciones_est,demanda_total_est
2026-09-17,16.8,22.5,11.1,33.6,35.8,34.1,5.6,3.7,7.0,119.8
2026-09-18,16.8,20.0,13.6,27.2,35.3,33.9,5.8,3.7,7.0,112.9
2026-09-19,17.9,20.6,15.2,19.4,34.2,33.4,5.6,3.7,7.0,103.3
2026-09-20,17.7,22.3,13.1,17.1,32.0,33.2,4.9,3.7,7.0,97.9
2026-09-21,15.6,18.1,13.0,37.3,34.6,33.9,5.5,3.7,7.0,122.0
2026-09-22,13.3,17.8,8.8,48.3,32.1,33.4,5.5,3.8,7.0,130.1
2026-09-23,16.9,21.9,11.8,28.3,36.2,34.1,5.5,3.7,7.0,114.8
2026-09-24,22.4,28.2,16.6,23.3,42.5,35.2,5.6,3.6,7.0,117.2
2026-09-25,15.5,18.6,12.4,39.0,33.8,33.6,5.9,3.8,7.0,123.1
2026-09-26,14.3,17.4,11.3,26.5,29.9,32.6,5.6,3.8,7.0,105.4
2026-09-27,16.8,19.8,13.7,17.1,30.9,33.0,4.9,3.7,7.0,96.6
2026-09-28,17.9,21.0,14.8,21.7,37.3,34.4,5.5,3.7,7.0,109.6
2026-09-29,14.7,16.3,13.1,33.6,33.8,33.6,5.5,3.8,7.0,117.3
2026-09-30,15.2,19.1,11.4,32.6,34.1,33.8,5.5,3.7,7.0,116.7
